ID,Study,Year,Venue,Agent Type,Threat,Attack Entry,Runtime?,Context,Behavioral,Tool/Action,Multi-Step,Provenance,Decision,Mitigation,Benchmark,Financial Context,Metrics,Main Result,Limitation,Evidence Level
P01,F. Jia et al. (2025) — The Task Shield: Enforcing task alignment to defend against indirect prompt injection in LLM agents,2025,"ACL 2025 (long), doi:10.18653/v1/2025.acl-long.1435",Tool-using conversational LLM agent,Indirect prompt injection,External data returned by tools,Yes,Yes,Not Reported,Yes,Not Verified,Not Reported,Yes,Not Verified,AgentDojo,Not Reported,Attack success rate (ASR); task utility,ASR 2.07% with utility 69.79% on GPT-4o; outperforms existing defenses (authors),LLM-based alignment judgement; one benchmark reported in the abstract,HIGH EVIDENCE
P02,Z. Wang et al. (2025) — AgentVigil: Automatic black-box red-teaming for indirect prompt injection against LLM agents,2025,"Findings of EMNLP 2025, doi:10.18653/v1/2025.findings-emnlp.1258",LLM agents (tool and web),"Indirect prompt injection (automated, black-box)",Contextual information consumed by the agent,Not Applicable,Yes,Not Applicable,Yes,Not Verified,Not Applicable,Not Applicable,Not Applicable,AgentDojo; VWA-adv,Not Reported,Attack success rate,71% and 70% success against o3-mini and GPT-4o agents; nearly double handcrafted baselines; transfers across tasks and models,Attack study; defense results only summarised in abstract,HIGH EVIDENCE
P03,Wen et al. (2025) — Defending against indirect prompt injection by instruction detection,2025,"Findings of EMNLP 2025, doi:10.18653/v1/2025.findings-emnlp.1060",LLM-integrated application (RAG),Indirect prompt injection,Retrieved external content,Yes,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Yes,Not Reported,BIPIA,Not Reported,Detection accuracy; ASR,Detection accuracy 99.60% in-domain and 96.90% out-of-domain; ASR reduced to 0.03% on BIPIA,"Requires access to model internals (hidden states, gradients); not evaluated on tool-using agents in the abstract",MODERATE EVIDENCE
P04,C. Huang et al. (2026) — Model Context Protocol threat modeling and analysis of vulnerabilities to prompt injection with tool poisoning,2026,"Journal of Cybersecurity and Privacy 6(3), 84, doi:10.3390/jcp6030084",MCP clients/hosts connecting assistants to tools,Tool poisoning (instructions in tool metadata),Tool metadata,Not Applicable,Yes,Not Verified,Yes,Not Reported,Not Reported,Not Applicable,Not Verified,Seven MCP clients (empirical comparison); STRIDE/DREAD threat model,Not Reported,Qualitative comparison of client validation,Tool poisoning identified as the most prevalent client-side vulnerability; most tested clients showed issues from insufficient static validation and parameter visibility; layered defenses proposed (not evaluated),Proposed defenses (incl. behavioural anomaly detection) not evaluated,MODERATE EVIDENCE
P05,Johnson et al. (2025) — The dangers of indirect prompt injection attacks on LLM-based autonomous web navigation agents: A demonstration,2025,"EMNLP 2025 System Demonstrations, doi:10.18653/v1/2025.emnlp-demos.55","Web-navigation agent (BrowserGym, Llama-3.1)","Indirect prompt injection (universal adversarial triggers, GCG)",Web page HTML / accessibility tree,Not Applicable,Yes,Not Applicable,Yes,Not Verified,Not Applicable,Not Applicable,Not Applicable,Real websites (unspecified in abstract),Not Reported,Attack success (qualitative in abstract),"High success rates reported qualitatively, including credential exfiltration and forced ad clicks",Demonstration paper; no figures in the abstract,LIMITED EVIDENCE
P06,Zhong et al. (2025) — RTBAS: Defending LLM agents against prompt injection and privacy leakage,2025,"arXiv preprint, arXiv:2502.08966",Tool-based agent system,Prompt injection; privacy leakage,Tool outputs / external content,Yes,Yes,Not Reported,Yes,Not Verified,Yes,Yes,Yes,AgentDojo,Not Reported,Attacks prevented; utility loss under attack,Prevents all targeted attacks with 2% utility loss under attack; asks for user confirmation only when integrity/confidentiality cannot be ensured,Preprint; dependency screeners use LM-as-a-judge and attention saliency,MODERATE EVIDENCE
P07,"P. Wang, Li, & Tian (2026) — Reframing LLM agent security as an agent-human interaction problem",2026,"arXiv preprint, arXiv:2605.24309",Production agent systems and security plugins,General agent security,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"59 papers, 21 production systems, 26 plugins (Apr 2026)",Not Reported,Adoption counts,"Policy specification, runtime approval and scope configuration adopted by 14, 15 and 16 of 21 systems; intent anchoring and trust labeling (academic focus) have zero production deployment; approval fatigue vs. autonomy trade-off",Position-driven analysis; preprint,MODERATE EVIDENCE
P08,"F. Wu, Cecchetti, & Xiao (2024) — System-level defense against indirect prompt injection attacks: An information flow control perspective",2024,"arXiv preprint, arXiv:2409.19091",LLM system planning multi-step operations,Indirect prompt injection,Any untrusted source feeding the planner,Yes,Yes,Not Reported,Yes,Yes,Yes,Yes,Yes,Case studies and benchmarks (unnamed in abstract),Not Reported,Not verified,Formal models of existing and f-secure LLM systems; security monitor filters untrusted input into planning; robust security with preserved functionality claimed (no figures in abstract),Preprint; quantitative results not verified,LIMITED EVIDENCE
P09,Fu et al. (2024) — Imprompter: Tricking LLM agents into improper tool use,2024,"arXiv preprint, arXiv:2410.14923","Production LLM agents (Mistral LeChat, ChatGLM, Llama)",Optimised obfuscated adversarial prompts causing improper tool use,Adversarial prompt text,Not Applicable,Yes,Not Applicable,Yes,Not Reported,Not Applicable,Not Applicable,Not Applicable,Production agents,Not Reported,End-to-end attack success,Information-exfiltration attack on Mistral LeChat with nearly 80% end-to-end success; transfers to production agents,Requires model weights for optimisation; preprint,MODERATE EVIDENCE
P10,Patil et al. (2024) — GoEX: Perspectives and designs towards a runtime for autonomous LLM applications,2024,"arXiv preprint, arXiv:2404.06921",Autonomous LLM applications executing actions,Incorrect or unsafe LLM-generated actions (non-adversarial),Not Applicable,Yes,Not Reported,Not Reported,Yes,Not Reported,Not Reported,Not Verified,Yes,Not Applicable,Not Reported,Not Applicable,Open-source runtime (GoEX) supporting post-facto validation through undo and damage confinement,Design/perspective paper; no quantitative evaluation in the abstract,LIMITED EVIDENCE
P11,J. Lin et al. (2026) — VIGIL: Defending LLM agents against tool-stream injection via verify-before-commit,2026,"ACL 2026 (long), doi:10.18653/v1/2026.acl-long.443",LLM agents in open environments,Tool-stream injection (manipulated tool metadata and runtime feedback),Tool metadata and tool feedback,Yes,Yes,Not Reported,Yes,Not Verified,Not Reported,Yes,Yes,SIREN (959 tool-stream injection cases; introduced),Not Reported,ASR; utility under attack,Reduces ASR by over 22% vs. dynamic defenses and more than doubles utility under attack vs. static baselines,Abstract obtained only via search-engine text (index record has no abstract),HIGH EVIDENCE
P12,E. Li et al. (2026) — ACE: A security architecture for LLM-integrated app systems,2026,"NDSS 2026, doi:10.14722/ndss.2026.230352",LLM-integrated app system (system LLM invoking third-party apps),Malicious apps; indirect prompt injection; planning/execution integrity and availability,Third-party apps and their outputs,Yes,Yes,Not Reported,Yes,Yes,Yes,Yes,Yes,InjecAgent; ASB; new attacks; LangChain Tool Usage suite (utility),Not Reported,Security against attack suites; utility,Secure against InjecAgent and ASB IPI attacks and new attacks; demonstrates new attacks against IsolateGPT,No figures in abstract,MODERATE EVIDENCE
