timestamp_utc	label	tool	parameters
2026-09-25T17:52:17.313Z	Elicit attempt 1	mcp__Elicit__search_papers	{"query": "(\"LLM agent\" OR \"AI agent\" OR \"language model agent\" OR \"tool-using agent\" OR \"autonomous agent\") AND (\"prompt injection\" OR \"indirect prompt injection\" OR \"tool misuse\" OR \"agent safety\" OR \"goal hijacking\" OR \"memory poisoning\") AND (\"runtime monitoring\" OR \"guardrail\" OR \"policy enforcement\" OR \"provenance\" OR \"mitigation\" OR \"anomaly detection\")", "searchMode": "keyword", "maxResults": 5}
2026-09-25T17:52:22.195Z	Elicit attempt 2	mcp__Elicit__search_papers	{"query": "(\"LLM agent\" OR \"AI agent\" OR \"language model agent\" OR \"tool-using agent\" OR \"autonomous agent\") AND (\"prompt injection\" OR \"indirect prompt injection\" OR \"tool misuse\" OR \"agent safety\" OR \"goal hijacking\" OR \"memory poisoning\") AND (\"runtime monitoring\" OR \"guardrail\" OR \"policy enforcement\" OR \"provenance\" OR \"mitigation\" OR \"anomaly detection\")", "searchMode": "keyword", "maxResults": 5}
2026-09-25T17:52:27.541Z	pilot probe (not counted)	mcp__FastTrack_Literature_Open__search_papers	{"query": "LLM agent indirect prompt injection runtime defense tool use", "limit": 5, "year_from": 2019}
2026-09-25T17:53:08.038Z	Q1	mcp__FastTrack_Literature_Open__search_papers	{"query": "LLM agent indirect prompt injection runtime defense tool use", "limit": 30, "year_from": 2019, "year_to": 2026}
2026-09-25T17:53:16.644Z	Q2	mcp__FastTrack_Literature_Open__search_papers	{"query": "LLM agent security runtime monitoring guardrail tool call", "limit": 30, "year_from": 2019, "year_to": 2026}
2026-09-25T17:53:17.466Z	Q3	mcp__FastTrack_Literature_Open__search_papers	{"query": "tool-using language model agent behavioral trajectory monitoring anomaly detection safety", "limit": 30, "year_from": 2019, "year_to": 2026}
2026-09-25T17:53:18.204Z	Q4	mcp__FastTrack_Literature_Open__search_papers	{"query": "LLM agent provenance goal alignment tool call misalignment detection", "limit": 30, "year_from": 2019, "year_to": 2026}
2026-09-25T17:53:26.719Z	Q5 (first run; output not persisted, identical total)	mcp__FastTrack_Literature_Open__search_papers	{"query": "prompt injection benchmark tool-integrated LLM agents attacks and defenses evaluation", "limit": 30, "year_from": 2019, "year_to": 2026}
2026-09-25T17:53:27.794Z	Q6	mcp__FastTrack_Literature_Open__search_papers	{"query": "LLM agent memory poisoning goal hijacking multi-step attack", "limit": 30, "year_from": 2019, "year_to": 2026}
2026-09-25T17:53:28.394Z	Q7	mcp__FastTrack_Literature_Open__search_papers	{"query": "financial LLM agent security prompt injection tool misuse", "limit": 30, "year_from": 2019, "year_to": 2026}
2026-09-25T17:55:24.344Z	Q8	mcp__FastTrack_Literature_Open__search_papers	{"query": "banking agent safety benchmark financial transaction LLM agent", "limit": 30, "year_from": 2019, "year_to": 2026}
2026-09-25T17:55:25.608Z	Q9	mcp__FastTrack_Literature_Open__search_papers	{"query": "calibrated risk score intervention policy LLM agent runtime safety", "limit": 30, "year_from": 2019, "year_to": 2026}
2026-09-25T17:55:25.825Z	Q5	mcp__FastTrack_Literature_Open__search_papers	{"query": "prompt injection benchmark tool-integrated LLM agents attacks and defenses evaluation", "limit": 30, "year_from": 2019, "year_to": 2026}
2026-09-25T17:55:33.230Z	Elicit attempt 3	mcp__Elicit__search_papers	{"query": "(\"prompt injection\" OR \"tool misuse\" OR \"goal hijacking\") AND (\"LLM agent\" OR \"tool-using agent\" OR \"agentic\") AND (\"runtime\" OR \"monitor\" OR \"guardrail\" OR \"defense\")", "searchMode": "keyword", "maxResults": 50}
2026-09-25T17:56:36.862Z	Q1p2	mcp__FastTrack_Literature_Open__search_papers	{"query": "LLM agent indirect prompt injection runtime defense tool use", "limit": 30, "page": 2, "year_from": 2019, "year_to": 2026}
2026-09-25T17:56:38.085Z	Q2p2	mcp__FastTrack_Literature_Open__search_papers	{"query": "LLM agent security runtime monitoring guardrail tool call", "limit": 30, "page": 2, "year_from": 2019, "year_to": 2026}
2026-09-25T17:56:38.679Z	Q10	mcp__FastTrack_Literature_Open__search_papers	{"query": "privilege control policy enforcement LLM agents tool calls prompt injection", "limit": 30, "year_from": 2019, "year_to": 2026}
2026-09-25T17:56:39.283Z	Q11	mcp__FastTrack_Literature_Open__search_papers	{"query": "pre-execution action validation guardrail autonomous LLM agent unsafe actions", "limit": 30, "year_from": 2019, "year_to": 2026}
