ID,Source record,Study,Role,Observation unit,Verification,Q1-Q10,Evidence level,Basis
P01,R001 (=S33),F. Jia et al. (2025),Defense,Each instruction and tool call,FULLY VERIFIED,Y Y Y NV Y Y Y NV Y Y,HIGH EVIDENCE,peer-reviewed; benchmark/dataset reported; quantitative results reported; comparator reported or not applicable
P02,R005,Z. Wang et al. (2025),Attack,Agent task outcome,FULLY VERIFIED,Y Y Y NV Y Y Y NV Y Y,HIGH EVIDENCE,peer-reviewed; benchmark/dataset reported; quantitative results reported; comparator reported or not applicable
P03,R007,Wen et al. (2025),Defense,Model hidden states and gradients for an input,FULLY VERIFIED,Y Y Y Y Y Y NV NV Y Y,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P04,R009,C. Huang et al. (2026),Threat analysis,Client validation behaviour,FULLY VERIFIED,Y Y Y NV Y NV NA NV NA Y,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P05,R010,Johnson et al. (2025),Attack,Agent actions on web pages,FULLY VERIFIED,Y Y Y Y NV NV NV NV NV Y,LIMITED EVIDENCE,"no verifiable quantitative evaluation in the accessible record, or design/position/working paper"
P06,R014,Zhong et al. (2025),Defense,Each tool call and its data dependencies,FULLY VERIFIED,Y Y Y NV Y Y NV NV Y P,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P07,R022,"P. Wang, Li, & Tian (2026)",Analysis,Deployed security mechanisms,FULLY VERIFIED,Y NV Y NV Y NA NA NV Y P,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P08,R023,"F. Wu, Cecchetti, & Xiao (2024)",Defense,Planning inputs and structured plans,FULLY VERIFIED,Y Y Y Y NV NV NV NV NV P,LIMITED EVIDENCE,"no verifiable quantitative evaluation in the accessible record, or design/position/working paper"
P09,R024,Fu et al. (2024),Attack,"Tool invocation (e.g., markdown exfiltration)",FULLY VERIFIED,Y Y Y NV Y Y NV NV Y P,MODERATE EVIDENCE,"quantitative results in a peer-reviewed or clearly labelled preprint record, or peer-reviewed evaluation without verifiable figures"
P10,R025,Patil et al. (2024),Design,Executed action,FULLY VERIFIED,Y NV Y Y NA NA NA NV NA P,LIMITED EVIDENCE,"no verifiable quantitative evaluation in the accessible record, or design/position/working paper"
