ID,Citation,Database,Duplicate?,Title/Abstract Decision,Full-Text Decision,Exclusion Reason,Final Status
Q1p2#16,"Saidakhror Saidakhmedovich Gulyamov et al. (2025). Prompt Injection Attacks in Large Language Models and AI Agent Systems: A Comprehensive Review of Vulnerabilities, Attack Vectors, and Defense Mechanisms. Preprints.org. doi:10.20944/preprints202511.0088.v1",OpenAlex (FastTrack MCP) — Q1p2,Yes (duplicate of R002),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q2#04,Yi Wei Dong et al. (2025). Safeguarding large language models: a survey. Artificial Intelligence Review. doi:10.1007/s10462-025-11389-2,OpenAlex (FastTrack MCP) — Q2,Yes (duplicate of R027),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q2#07,"Said Gulyamov et al. (2026). Prompt Injection Attacks in Large Language Models and AI Agent Systems: A Comprehensive Review of Vulnerabilities, Attack Vectors, and Defense Mechanisms. Information. doi:10.3390/info17010054",OpenAlex (FastTrack MCP) — Q2,Yes (duplicate of R002),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q2#10,"Md Monjurul Karim et al. (2025). Transforming Data Annotation with AI Agents: A Review of Architectures, Reasoning, Applications, and Impact. Future Internet. doi:10.3390/fi17080353",OpenAlex (FastTrack MCP) — Q2,Yes (duplicate of R004),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q2#12,"Pratik Jalan et al. (2026). Survey on LLM Safety: Attacks, Defenses, Alignment, Metrics, and Guardrails. Machine Learning. doi:10.1007/s10994-026-07060-8",OpenAlex (FastTrack MCP) — Q2,Yes (duplicate of R012),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q2#15,Faouzi El Yagoubi et al. (2026). AgentLeak: A Benchmark for Internal-Channel Privacy Leakage in Multi-Agent LLM Systems. IEEE Access. doi:10.1109/access.2026.3704541,OpenAlex (FastTrack MCP) — Q2,Yes (duplicate of R011),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q2#16,Nyashadzashe Tamuka et al. (2026). Securing LLM-based agents against cyberattacks: a comprehensive survey on attack techniques and defense strategies. Journal of Computer Virology and Hacking Techniques. doi:10.1007/s11416-026-00622-3,OpenAlex (FastTrack MCP) — Q2,Yes (duplicate of R008),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q2#17,Peiran Wang et al. (2026). Reframing LLM Agent Security as an Agent-Human Interaction Problem. arXiv (Cornell University). doi:10.48550/arxiv.2605.24309,OpenAlex (FastTrack MCP) — Q2,Yes (duplicate of R022),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q2#19,"Shaina Raza et al. (2025). TRiSM for Agentic AI: A Review of Trust, Risk, and Security Management in LLM-based Agentic Multi-Agent Systems. arXiv (Cornell University). doi:10.48550/arxiv.2506.04133",OpenAlex (FastTrack MCP) — Q2,Yes (duplicate of R042),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
Q2#20,"Tianxiao Li et al. (2026). Safe Multi-Agent Behavior Must Be Maintained, Not Merely Asserted: Constraint Drift in LLM-Based Multi-Agent Systems. arXiv (Cornell University). doi:10.48550/arxiv.2605.10481",OpenAlex (FastTrack MCP) — Q2,Yes (duplicate of R020),Not screened (duplicate removed before screening),Not assessed,duplicate,Removed before screening
